cus_no;account;date
28312;5512791;850209
28357;7062703;840819
28357;5524046;840819
28502;5516495;850205
28654;7063524;840829
28654;5519378;840829
28663;5519403;850413
28676;5519628;841018
28886;6294684;841126
29390;5532819;840913
29685;5538425;841004
29959;5543286;850309
30060;5545050;841106
30131;5546346;850224
30137;5546447;840928
30252;5548417;841001
30305;5549337;850412
30396;5550912;840930
30452;5552045;841020
30540;5553696;841026
30546;5553806;841006
30780;5558251;841106
30800;5558649;841012
30896;5560417;841011
30896;6316368;841011
31074;5563490;841108
31079;5563580;841028
31087;5563720;841017
31240;5566436;850224
31427;7069657;841127
31727;5574588;841103
31727;5639523;850126
31747;5574992;841105
31765;5575360;841130
31831;5576578;850414
32045;6329168;841124
32262;5584165;841118
32295;6332079;841113
32412;5600000;841218
32501;5588350;841118
32764;5592902;850123
33257;7075151;841223
33257;6342862;841221
33486;7074451;841214
33868;7075359;850307
33889;5615280;850322
33939;5616374;841227
33987;5617480;850308
34026;5618412;850115
34051;5619009;850304
34113;5620529;850114
34213;5623108;850120
34324;5626038;850107
34325;5626068;850121
34443;5629050;850219
34515;5630847;850317
34528;6352445;850120
34562;5631978;850117
34620;5633341;850202
34709;5635275;850316
34724;7076583;850323
34732;7076608;850220
35003;5641687;850421
35007;5641765;850206
35046;5642682;850412
35184;5645750;850203
35188;5645837;850206
35251;5647157;850207
35265;6358862;850206
35400;5650385;850207
35583;5654364;850213
35593;5654585;850328
35652;5655834;850404
35721;5657331;850219
35762;5658278;850231
35905;7079333;850226
35929;6364938;850221
35987;5663054;850304
36003;5663401;850220
36088;5665189;850226
36211;7080802;850309
36309;5669766;850130
36575;5675908;850429
36685;5678341;850302
36790;7081027;850322
36790;5680810;850322
36835;5681840;850322
37093;5687455;850313
37265;7082269;850404
37265;5691354;850404
37317;5692444;850317
37379;5693823;850327
37392;5694138;850315
37396;5694223;850318
37486;5696156;850330
37597;5698533;850404
37603;5698650;850404
37630;5699245;850327
37702;5700791;850407
37702;6380601;850407
37765;5702149;850327
37987;5706815;850331
37997;5707047;850413
38242;5712783;850413
38531;5719175;850412
39194;5733694;850502
39807;5738427;850502
39957;5741996;850503
