cus_no;account;date
17647;7039292;840503
17677;7051928;840721
17762;5313366;840408
17780;5313691;840321
17811;5314318;840316
17956;5317013;840318
17995;5317687;850412
18027;6185385;840329
18110;5319849;840815
18121;6186380;840331
18133;6186525;840324
18160;6186802;840324
18169;5320897;840323
18198;5321376;840325
18224;5321864;840325
18227;6187520;840325
18284;6188181;841208
18309;5323321;840328
18318;5323452;840325
18369;9212247;840408
18383;7068053;841011
18383;5324658;840503
18412;7040918;840508
18443;5716472;850410
18447;5325829;840404
18449;7040981;840404
18486;7041167;840405
18486;5326514;840404
18545;7041205;840428
18593;7041311;840406
18593;5328557;840406
18595;5328596;841019
18669;5330200;840404
18672;5330272;840617
18672;6194035;840617
18700;7043147;840509
18724;5331332;840420
18793;5332639;841215
18828;7041907;850214
18828;5657221;850221
18833;7041911;840428
18845;7053147;840815
18849;5480643;840816
18850;5333626;850210
18864;5333885;840413
18970;7042320;840429
18993;5336475;840414
18993;5654716;850310
19051;6196223;840910
19066;7081428;850501
19066;5368073;850501
19209;5574239;841028
19706;5363457;840511
19790;5435894;840723
19790;6220611;840723
19890;5685211;850404
19890;6223911;850309
19907;6224473;840829
20018;5337474;840412
20047;5338070;840411
20058;5338285;840415
20069;6230066;840425
20178;5340576;840415
20223;5341423;840422
20267;5342279;841128
20291;5342784;840425
20369;5344342;840422
20436;5345802;841017
20454;6233374;850128
20554;7043889;840615
20570;5348556;840425
20570;9232205;840425
20604;7044056;840615
20610;7044093;840621
20612;5349327;840505
20619;7044153;840922
20629;7044206;840503
20638;5349788;840429
20664;5350314;840718
20690;5686491;850317
20690;6235349;840512
20698;5350982;840719
20698;5452194;840719
20740;5351865;840426
20769;5352417;840816
20798;5352992;840509
20815;5353287;840605
20823;5353441;840703
20842;5353779;850220
20846;5353856;840828
20873;5354365;850122
20876;7044977;840503
20880;5354483;850417
20894;7045048;850213
20894;5651283;850213
20939;6237491;840519
20958;5355689;840512
20965;5355815;840703
20989;5356316;840913
21004;7045638;840622
21004;5356609;840622
21037;7045674;850323
21048;5357481;840512
21066;5357842;840821
21068;5357894;840801
21077;7045805;840508
21176;5360239;840503
21218;5361178;850411
21218;9497997;850411
21348;5363141;840503
21349;5607608;850107
21374;5363724;840506
21434;5364976;841124
21483;7046491;840508
21483;5366032;840508
21520;5366820;840505
21520;5509062;840815
21534;5367126;840610
21564;5367769;840527
21565;7046653;840613
21606;5368712;840611
21637;5369368;840510
21680;5370311;840505
21684;5370404;840518
21699;5370717;840510
21706;5370845;840724
21725;6244629;840709
21729;5371289;840511
21751;5371757;840512
21758;5371910;840512
21759;5371927;840915
21763;5372006;840908
21782;5372409;840509
21830;7047260;840828
21925;5375426;840603
21953;5375995;841019
22018;7047738;840525
22030;5377661;840817
22086;5378884;840513
22174;5380759;840717
22177;7048056;840613
22206;7048094;840518
22206;5530232;840909
22221;7048120;840524
22221;5381757;840524
22252;5382395;840613
22262;5631619;850116
22286;7050781;840610
22286;5383088;840610
22291;5383184;840603
22304;5383453;840719
22355;6249074;840525
22396;5385331;840814
22404;5385478;840713
22424;7048632;841017
22460;5386602;850226
22466;6249819;840531
22507;5387530;850122
22548;5388464;850418
22572;5388911;840522
22587;5389211;840525
22616;7049906;840529
22634;5390080;840605
22660;5390585;840526
22661;7050041;841110
22661;5390605;840525
22708;5391528;840825
22766;7049674;840531
22809;5393607;840809
22833;5394110;840601
22854;5394531;840529
22860;5394660;840613
22879;5395052;840525
22911;5395747;840621
22934;5396222;840606
22958;5396743;850114
22988;5473572;840727
22991;5397418;840630
23007;5397775;841125
23052;5398685;850119
23060;5398858;841125
23216;5402347;840713
23216;6254754;840713
23247;5403056;840601
23293;5404073;840825
23303;7051042;841015
23348;5405281;840608
23348;9277685;840608
23349;7051161;840610
23364;7051207;840610
23366;5405701;840622
23366;5531578;840910
23424;5407043;840710
23610;5411169;841013
23640;7059495;840809
23702;7051887;840624
23706;5413303;840905
23788;7052149;841224
23793;5415160;850311
23861;5416662;840620
23868;5416834;841206
23891;5417358;840613
23936;5418367;841126
23943;5418511;840830
23979;7052653;840616
23979;5419296;840616
24023;5420178;840717
24037;5420478;841224
24111;5422014;850210
24151;5422820;840709
24167;5423107;840614
24231;5424448;850107
24247;5424771;840615
24247;9293594;840615
24248;7055513;840631
24248;5424799;840631
24251;7053286;840623
24270;5425179;840622
24373;5526940;840906
24434;5428549;841116
24483;7053830;840930
24483;5507314;840930
24498;5429839;840801
24623;7057816;840802
24624;5432364;841009
24654;7054341;840630
24679;5433510;840628
24688;5433683;841012
24738;7054582;840711
24738;5434667;840711
24771;5435371;850303
24804;5436080;840717
24877;5437548;840714
24883;5437686;850411
24913;5438346;841104
24942;5438958;840703
24992;7055224;850426
24992;5729977;850426
25048;5441224;840714
25082;7055478;840709
25107;5442545;841003
25161;7067862;841004
25198;5444741;840706
25262;5446262;840805
25266;5446358;840706
25266;9311820;840706
25278;5446639;840709
25334;5447880;840709
25336;5447915;840726
25395;5449312;840801
25409;6270789;840709
25411;7057727;840905
25470;5451006;841109
25500;5451598;840717
25520;5452012;840725
25522;5452080;840726
25534;5452323;840706
25535;5452337;840719
25547;5452604;840712
25607;5453892;840723
25650;5454939;840808
25688;5455779;840709
25695;5455923;840712
25769;5457511;850231
25792;7056795;840712
25796;6272952;840712
25823;5458676;840710
25840;5459066;840903
25874;6273428;840725
26011;5462838;840717
26078;5464320;840717
26089;5464585;850230
26097;5464762;840721
26113;5465150;840717
26133;5465585;840908
26289;5468984;840719
26304;5469291;840720
26307;7078605;850212
26307;5469357;850210
26313;5469482;840829
26322;5469673;840821
26361;5470557;840816
26385;7061296;850202
26395;5471261;841019
26460;5472674;840815
26477;7058497;841026
26478;5473051;840720
26565;5474983;850231
26565;6311274;850231
26573;5475158;840823
26601;5475808;850318
26604;5475894;840727
26660;7058790;840825
26670;5477384;840921
26735;5478763;840728
26760;5479321;840724
26763;7059099;850126
26809;5480423;840727
26832;5480879;850217
26856;5481359;840801
26880;5481883;840727
26917;7059524;840801
26960;7074729;841227
26960;5483583;841227
26979;7059693;840810
26992;5484241;840807
27170;5488064;840801
27274;5490419;850503
27382;5492808;840921
27411;5493473;840821
27443;5494123;840811
27514;5495764;840810
27517;7060811;841220
27545;5539226;841019
27545;6283565;841019
27583;5497268;840808
27681;5499408;840817
27700;7061149;840814
27700;5499870;840814
27798;5502055;840810
27874;5503751;840830
27882;5503878;840811
27919;5504720;840818
27958;5505525;850129
27978;7062664;840819
27978;5505989;840819
28003;5506507;840814
28036;5507222;840814
28089;7061921;840818
28255;5511640;840817
28295;7062562;840914
28295;5512758;840914
28305;5512628;840818
28311;5512775;840818
28318;5512905;840818
28357;7062703;840828
28357;5524046;840828
28379;7062744;841214
28403;5577332;841105
28403;5577341;841105
28436;5515199;840822
28464;5515753;850309
28468;5515833;840913
28489;5516277;840825
28489;6290784;840525
28602;5518292;840825
28613;5518492;841214
28635;5518884;840825
28640;5518972;840906
28654;7063524;840828
28654;5519378;840828
28683;5519763;840828
28695;5520000;841213
28781;5521643;841008
28799;5521975;850307
28838;5522689;850202
28899;5523899;840902
28983;5525699;840912
29046;5526986;850211
29056;5527206;840910
29102;7064605;850327
29102;7067129;850327
29175;7066413;840926
29175;5529537;840926
29186;7064780;841017
29201;5530044;840913
29288;7064944;840920
29390;5532819;840913
29492;6301456;840914
29575;5543682;841104
29586;6302428;850327
29591;7080354;850428
29591;6302464;850428
29603;5536910;841216
29685;5538425;840922
29702;6303634;840917
29802;7066149;850307
29880;6305682;850411
29932;5542738;841102
29932;5542813;841102
29969;5543455;841012
29973;6306744;840923
29986;5543748;841003
29993;5543888;840922
30053;5544941;840926
30087;7067522;841112
30087;6307972;841112
30126;5546239;850406
30226;6309451;841005
30245;5548297;841001
30267;5548697;841110
30396;5550912;810930
30440;6311759;841001
30490;5552778;841102
30500;5552994;841110
30500;6312341;841110
30540;5553696;841129
30546;5553806;841005
30546;9405796;841005
30556;5554000;841013
30621;5555215;841005
30629;5555351;841010
30710;6314466;841007
30740;5557500;841206
30880;5560168;841203
30896;5560417;841011
30896;6316368;841011
31044;5562954;850206
31168;5565195;841018
31240;5566436;841027
31276;6320502;841216
31311;6320931;841018
31326;5567860;841022
31424;6322277;841026
31427;7069657;841127
31444;5569865;841225
31727;5639523;850126
31759;5575246;850212
31765;7073233;841203
31765;5575360;841125
31768;5575416;841108
31798;5575996;841130
31800;5576027;841102
31805;7070578;850328
31831;5576578;850414
31906;7077026;850128
31936;6328043;850121
31994;5579523;841116
32024;5580128;841125
32046;7071124;841129
32090;7071242;841203
32164;7071456;850123
32182;5582778;850124
32228;5583585;841111
32252;5583977;841125
32252;9431255;841125
32285;5584590;841117
32296;5584785;841116
32312;5585115;841116
32409;6333394;850121
32412;5586833;850121
32412;5600000;841221
32412;6333451;850121
32412;9459245;850121
32496;5588268;841128
32534;5588933;841214
32545;7072303;841125
32552;5706353;850421
32552;6335063;850421
32554;5636405;850129
32585;5589906;841201
32663;6336389;841222
32664;5591275;841125
32665;5591292;841204
32702;5591895;841201
32757;5592776;841129
32789;5593402;841203
32851;7073078;841203
32873;5594819;841130
32891;5595145;850212
32891;5646373;850212
33018;5643543;850418
33018;6340385;850418
33137;5599737;841214
33241;5601730;850231
33241;6368315;850231
33257;6342862;841221
33281;5602571;841215
33334;5603634;850214
33358;7074142;850222
33367;5604422;841211
33397;5605014;841213
33438;5605887;850417
33444;7074343;841214
33470;5606560;841225
33486;7074451;841214
33603;5609231;841217
33626;7075764;850108
33626;6346346;850108
33699;7075010;841220
33699;5611150;841220
33704;6347159;841218
33741;7075090;841223
33763;5612534;841220
33792;7075179;841228
33814;5613589;850119
33815;5613624;841224
33854;5614476;850105
33868;7075359;850320
33889;5615280;841228
33933;5616228;850106
33956;5616793;841223
33987;5617480;841224
34006;5617915;850107
34024;5618359;850106
34127;5620858;841227
34179;5622184;850120
34183;5622292;850106
34202;6350676;850107
34223;5623403;850128
34228;5623546;850321
34232;5623639;850129
34262;5624468;850108
34310;5625712;850225
34349;5626654;850130
34364;5627005;850320
34374;5666414;850324
34374;6351530;850324
34400;5627896;850119
34442;5629028;850120
34443;5629050;850121
34462;5629517;850130
34474;6352065;850119
34498;5630456;850218
34578;5632358;850123
34590;5632652;850117
34591;6352860;850120
34633;5633645;850311
34666;5634360;850122
34689;5634850;850210
34709;5635275;850317
34710;5635294;850129
34724;7076583;850323
34732;7076608;850220
34738;6354163;850126
34748;5636096;850404
34775;5636677;850126
34788;6354611;850123
34831;5637867;850128
34831;6355018;850128
34917;5639816;850126
34930;7077110;850103
34930;5646446;850103
34966;5640846;850205
35031;6356739;850129
35088;5643598;850216
35188;5645837;850206
35199;5646082;850205
35200;5646101;850210
35212;5646396;850203
35227;5646673;850213
35240;5646922;850209
35265;6358862;850206
35318;5648598;850328
35327;5648799;850227
35329;5648847;850209
35365;5649604;850323
35393;5650224;850210
35400;5650385;850207
35443;5651293;850211
35453;6360614;850209
35483;6360870;850210
35504;5652653;850223
35537;5653330;850211
35652;5655834;850218
35716;5657208;850220
35721;5657331;850223
35727;5657474;850221
35738;5657968;850420
35746;5657937;850406
35769;5658439;850216
35788;5658794;850221
35798;5659030;850218
35838;5659879;850218
35886;5660904;850223
35905;7079333;850226
35929;6364938;850220
36036;5664096;850221
36066;5664725;850222
36088;5665189;850226
36105;5665569;850225
36147;7079854;850303
36147;5666518;850303
36163;5666829;850301
36173;5667047;850224
36224;5668074;850301
36273;7080484;850503
36273;5674352;850503
36310;5669791;850228
36323;7080291;850418
36338;5670436;850231
36381;5671416;850304
36409;7080417;850230
36440;5672777;850302
36463;7080496;850320
36463;5682460;850320
36562;5675593;850301
36600;7080723;850304
36614;5676742;850412
36614;5696902;850412
36643;7080798;850309
36685;5678341;850303
36692;6371578;850306
36736;5679596;850320
36741;6371954;850308
36756;5680029;850320
36790;7081027;850322
36790;5680810;850322
36793;6372404;850308
36818;5681448;850316
36835;5681840;850325
36928;6373543;850316
36972;7081643;850316
36972;5684873;850316
37013;5685744;850311
37036;5686243;850318
37049;5686518;850317
37090;5687388;850331
37093;5687455;850313
37155;5688857;850311
37187;5689585;850317
37265;7082269;850404
